postal_code,kode_wilayah_concat,kode_provinsi,kode_kota_kabupaten,kode_kecamatan,kode_kelurahan
42266,3601242020,36,1,24,2020
42355,3602092015,36,2,9,2015
42250,3601332012,36,1,33,2012
42173,3604222011,36,4,22,2011
15151,3671061007,36,71,6,1007
42455,3604082003,36,4,8,2003
42275,3601112007,36,1,11,2007
42276,3601312005,36,1,31,2005
42267,3601292009,36,1,29,2009
42172,3604192012,36,4,19,2012
42354,3602082012,36,2,8,2012
42251,3601222009,36,1,22,2009
42176,3604342007,36,4,34,2007
15810,3603172003,36,3,17,2003
42218,3601211002,36,1,21,1002
15131,3671081001,36,71,8,1001
42192,3604122008,36,4,12,2008
42186,3604152013,36,4,15,2013
15154,3671131006,36,71,13,1006
42173,3604222004,36,4,22,2004
42254,3601322005,36,1,32,2005
42274,3601102005,36,1,10,2005
15570,3603152004,36,3,15,2004
42372,3602042006,36,2,4,2006
15136,3671021005,36,71,2,1005
42381,3602232010,36,2,23,2010
42181,3604352007,36,4,35,2007
15530,3603092003,36,3,9,2003
42270,3601182003,36,1,18,2003
42192,3604122004,36,4,12,2004
15122,3671031007,36,71,3,1007
42171,3673041009,36,73,4,1009
42252,3601202002,36,1,20,2002
42196,3604182006,36,4,18,2006
42254,3601322002,36,1,32,2002
42362,3602062002,36,2,6,2002
15550,3603072002,36,3,7,2002
15570,3603152010,36,3,15,2010
42313,3602142017,36,2,14,2017
42262,3601132010,36,1,13,2010
42394,3602192010,36,2,19,2010
15416,3674061003,36,74,6,1003
42355,3602092018,36,2,9,2018
42172,3604192011,36,4,19,2011
42365,3602272006,36,2,27,2006
42163,3604282015,36,4,28,2015
42252,3601202010,36,1,20,2010
42396,3602212003,36,2,21,2003
42181,3604352009,36,4,35,2009
15561,3603292006,36,3,29,2006
15119,3671011004,36,71,1,1004
42182,3604092011,36,4,9,2011
15326,3674021004,36,74,2,1004
42193,3604132012,36,4,13,2012
42250,3601332003,36,1,33,2003
42171,3673041005,36,73,4,1005
42168,3604292004,36,4,29,2004
42167,3604312009,36,4,31,2009
15620,3603322007,36,3,32,2007
15310,3674011003,36,74,1,1003
42275,3601082009,36,1,8,2009
42267,3601292006,36,1,29,2006
15531,3603082007,36,3,8,2007
42352,3602152003,36,2,15,2003
42353,3602102008,36,2,10,2008
42353,3602102009,36,2,10,2009
42166,3604302003,36,4,30,2003
42275,3601112002,36,1,11,2002
42191,3673021002,36,73,2,1002
42314,3602141012,36,2,14,1012
42394,3602192007,36,2,19,2007
15145,3671111001,36,71,11,1001
42272,3601152010,36,1,15,2010
42161,3604052015,36,4,5,2015
42390,3602022003,36,2,2,2003
15532,3603102004,36,3,10,2004
42172,3604192014,36,4,19,2014
15570,3603152008,36,3,15,2008
42167,3604312008,36,4,31,2008
15159,3671121003,36,71,12,1003
15612,3603272007,36,3,27,2007
42252,3601202012,36,1,20,2012
15531,3603082004,36,3,8,2004
15551,3603332008,36,3,33,2008
42285,3601032009,36,1,3,2009
42454,3604072001,36,4,7,2001
42111,3673011006,36,73,1,1006
42286,3601042004,36,1,4,2004
42161,3604052011,36,4,5,2011
42371,3602122001,36,2,12,2001
15610,3603012005,36,3,1,2005
42442,3672081005,36,72,8,1005
42252,3601202008,36,1,20,2008
15510,3603132011,36,3,13,2011
42355,3602092010,36,2,9,2010
42270,3601182004,36,1,18,2004
42196,3604182003,36,4,18,2003
42253,3601192007,36,1,19,2007
15156,3671131008,36,71,13,1008
15711,3603191002,36,3,19,1002
42394,3602192016,36,2,19,2016
15550,3603072013,36,3,7,2013
42266,3601242017,36,1,24,2017
15532,3603102002,36,3,10,2002
15147,3671051007,36,71,5,1007
15710,3603182013,36,3,18,2013
42193,3604132007,36,4,13,2007
42183,3673031014,36,73,3,1014
15530,3603092001,36,3,9,2001
15214,3603142004,36,3,14,2004
42171,3673041001,36,73,4,1001
15532,3603102001,36,3,10,2001
42355,3602092014,36,2,9,2014
42364,3602052020,36,2,5,2020
42393,3602032002,36,2,3,2002
42431,3672031002,36,72,3,1002
42252,3601202007,36,1,20,2007
15711,3603192007,36,3,19,2007
42263,3601162013,36,1,16,2013
42173,3604222001,36,4,22,2001
42411,3672051002,36,72,5,1002
42264,3601282001,36,1,28,2001
42167,3604312010,36,4,31,2010
15520,3603161001,36,3,16,1001
42284,3601022012,36,1,2,2012
42312,3602142014,36,2,14,2014
42356,3602172004,36,2,17,2004
42285,3601032012,36,1,3,2012
42287,3601272002,36,1,27,2002
42433,3672071003,36,72,7,1003
42275,3601082006,36,1,8,2006
42454,3604072007,36,4,7,2007
42265,3601092005,36,1,9,2005
42251,3601222001,36,1,22,2001
42117,3673011002,36,73,1,1002
15731,3603312007,36,3,31,2007
15311,3674011009,36,74,1,1009
42361,3602112011,36,2,11,2011
15570,3603152006,36,3,15,2006
42371,3602122004,36,2,12,2004
42194,3604142004,36,4,14,2004
15711,3603192003,36,3,19,2003
15811,3603281004,36,3,28,1004
42195,3604172001,36,4,17,2001
15121,3671101002,36,71,10,1002
42174,3604202009,36,4,20,2009
15112,3671071011,36,71,7,1011
42364,3602052003,36,2,5,2003
42278,3601142014,36,1,14,2014
42351,3602252002,36,2,25,2002
42365,3602272004,36,2,27,2004
42161,3604052002,36,4,5,2002
15121,3671031006,36,71,3,1006
42274,3601102004,36,1,10,2004
42365,3602272009,36,2,27,2009
15721,3603032006,36,3,3,2006
15225,3674031003,36,74,3,1003
15720,3603042002,36,3,4,2002
15320,3674021002,36,74,2,1002
42363,3602072004,36,2,7,2004
